position,gene,LA
270.024791917764,gene0,FALSE
592.239361581393,gene0,FALSE
592.756332006305,gene0,FALSE
723.432738745119,gene0,FALSE
1016.18856601091,gene0,FALSE
1111.87966128509,gene0,FALSE
1226.10573572107,gene0,FALSE
1299.03842659458,gene0,FALSE
1653.67264272925,gene0,FALSE
1679.44601285225,gene0,FALSE
1686.1173040974,gene0,FALSE
1899.04938530643,gene0,FALSE
2019.10417328309,gene0,FALSE
2065.79356275592,gene0,FALSE
2100.2107183903,gene0,FALSE
2176.97519799648,gene0,FALSE
2177.79019109439,gene0,FALSE
2450.25627671974,gene0,FALSE
2555.22722788528,gene0,FALSE
2717.32332554553,gene0,FALSE
2847.74660969758,gene0,FALSE
2923.97295318916,gene0,FALSE
2927.24135779217,gene0,FALSE
3767.76238347846,gene0,FALSE
3806.54224279965,gene0,FALSE
3826.47752889804,gene0,FALSE
3843.53091008961,gene0,FALSE
3903.06561952457,gene0,FALSE
4130.85416560993,gene0,FALSE
4256.9114991501,gene0,FALSE
4339.42025969177,gene0,FALSE
4511.31265377626,gene0,FALSE
4620.63546563545,gene0,FALSE
4714.17695655022,gene0,FALSE
4897.09358846396,gene0,FALSE
5404.59189137327,gene0,FALSE
5516.98535976233,gene0,FALSE
5757.09436093504,gene0,FALSE
5837.30535640847,gene0,FALSE
5947.65991225815,gene0,FALSE
6034.7664158328,gene0,FALSE
6145.41854971368,gene0,FALSE
6214.02753208787,gene0,FALSE
6758.2892391216,gene0,FALSE
7241.02231359901,gene0,FALSE
7292.01914779004,gene0,FALSE
7636.27314448077,gene0,FALSE
7790.41416945518,gene0,FALSE
7824.70915222354,gene0,FALSE
8182.75567380921,gene0,FALSE
8345.54729525931,gene0,FALSE
9005.51060275501,gene0,FALSE
9321.31812391034,gene0,FALSE
9332.61779354373,gene0,FALSE
9559.60460007191,gene0,FALSE
9791.99156586081,gene0,FALSE
9912.25677026436,gene0,FALSE
10058.8846093861,gene1,FALSE
10107.1588152731,gene1,FALSE
10427.4552207105,gene1,FALSE
10649.8596676332,gene1,FALSE
10867.7280325871,gene1,FALSE
11183.0731307659,gene1,FALSE
11244.3510311146,gene1,FALSE
11380.4428368437,gene1,FALSE
11434.2584908511,gene1,FALSE
11456.9772859798,gene1,FALSE
11662.7752611786,gene1,FALSE
11701.3156716712,gene1,FALSE
11896.2396658026,gene1,FALSE
11992.2393187881,gene1,FALSE
12015.0851824363,gene1,FALSE
12030.6166029051,gene1,FALSE
12031.5464703622,gene1,FALSE
12053.099624333,gene1,FALSE
12158.2328568865,gene1,FALSE
12223.439667104,gene1,FALSE
12278.0988144847,gene1,FALSE
12437.6271919061,gene1,FALSE
12489.3404203434,gene1,FALSE
12555.6629644644,gene1,FALSE
12666.9244281948,gene1,FALSE
12813.1196368486,gene1,FALSE
12896.3463688269,gene1,FALSE
12947.8019540878,gene1,FALSE
13271.1610918632,gene1,FALSE
13394.0266982196,gene1,FALSE
13453.5201801918,gene1,FALSE
14118.1381116621,gene1,FALSE
14288.9147505858,gene1,FALSE
14470.1041455311,gene1,FALSE
14681.4959640817,gene1,FALSE
14920.2196743367,gene1,FALSE
15096.9119856921,gene1,FALSE
15496.8901743032,gene1,FALSE
15669.4134154702,gene1,FALSE
15808.6871744299,gene1,FALSE
16017.7273370703,gene1,FALSE
16033.4002505988,gene1,FALSE
16061.4003013654,gene1,FALSE
16211.258479041,gene1,FALSE
16304.0488769971,gene1,FALSE
16598.011830356,gene1,FALSE
16813.7004253324,gene1,FALSE
16858.6702157648,gene1,FALSE
17080.2893099273,gene1,FALSE
17204.1983286452,gene1,FALSE
17256.5580547722,gene1,FALSE
17323.7915797869,gene1,FALSE
17953.9948522788,gene1,FALSE
18351.4772384551,gene1,FALSE
18362.2461881116,gene1,FALSE
18569.0933268659,gene1,FALSE
18686.1396900453,gene1,FALSE
18960.3490685113,gene1,FALSE
19441.7879180852,gene1,FALSE
19657.5484219645,gene1,FALSE
19834.2617345043,gene1,FALSE
19887.3088043183,gene1,FALSE
19903.4056558493,gene1,FALSE
19931.2129906472,gene1,FALSE
19995.890884304,gene1,FALSE
20416.9097243529,gene2,FALSE
20446.4805706909,gene2,FALSE
20630.395808161,gene2,FALSE
20639.5527879854,gene2,FALSE
21320.1970997732,gene2,FALSE
21530.1313818879,gene2,FALSE
21618.832879354,gene2,FALSE
22255.3114918992,gene2,FALSE
22282.9648263208,gene2,FALSE
22345.7740610042,gene2,FALSE
22937.720679122,gene2,FALSE
23328.7289221832,gene2,FALSE
23501.1149171134,gene2,FALSE
23572.0938095697,gene2,FALSE
23620.9712995009,gene2,FALSE
23749.4060224402,gene2,FALSE
24105.9138918039,gene2,FALSE
24280.8230360746,gene2,FALSE
24373.2485710643,gene2,FALSE
24395.7781263511,gene2,FALSE
24545.10032538,gene2,FALSE
24605.9316174313,gene2,FALSE
24683.7311463172,gene2,FALSE
25037.3272733525,gene2,FALSE
25660.891244188,gene2,FALSE
25680.2425358798,gene2,FALSE
26115.1900201766,gene2,FALSE
26247.4284858201,gene2,FALSE
26298.4006038383,gene2,FALSE
26345.1448267861,gene2,FALSE
26410.4229825488,gene2,FALSE
26843.9253186807,gene2,FALSE
27153.4354196768,gene2,FALSE
27362.8876497729,gene2,FALSE
27721.954450507,gene2,FALSE
27889.7748065405,gene2,FALSE
28412.6134319878,gene2,FALSE
28459.122950231,gene2,FALSE
28531.0677187254,gene2,FALSE
28536.427845031,gene2,FALSE
28603.0934697255,gene2,FALSE
28745.6980743445,gene2,FALSE
28849.725450913,gene2,FALSE
28965.699231497,gene2,FALSE
29118.4003252063,gene2,FALSE
29256.0735863382,gene2,FALSE
29475.7210230455,gene2,FALSE
29548.3421175964,gene2,FALSE
29685.1263487488,gene2,FALSE
29706.1193701532,gene2,FALSE
29708.487276841,gene2,FALSE
29778.9269391156,gene2,FALSE
29800.2448057048,gene2,FALSE
29910.2919195662,gene2,FALSE
30280.2772380812,gene3,FALSE
30300.8198904204,gene3,FALSE
30884.2184516042,gene3,FALSE
31099.4420370532,gene3,FALSE
31149.5308681787,gene3,FALSE
31481.1679817298,gene3,FALSE
31563.2531279945,gene3,FALSE
31592.8094351972,gene3,FALSE
31912.4724705694,gene3,FALSE
32127.0594347755,gene3,FALSE
32225.024451036,gene3,FALSE
32304.6231698347,gene3,FALSE
32434.7818154725,gene3,FALSE
32733.3742077462,gene3,FALSE
32761.4456834272,gene3,FALSE
32964.9102888042,gene3,FALSE
32975.4739640509,gene3,FALSE
33092.2779472673,gene3,FALSE
33105.7915076208,gene3,FALSE
33152.4303862783,gene3,FALSE
33229.1791129324,gene3,FALSE
33239.4045756748,gene3,FALSE
33336.0573380254,gene3,FALSE
33485.4632476345,gene3,FALSE
33727.5350023992,gene3,FALSE
34008.8335215114,gene3,FALSE
34164.7575963133,gene3,FALSE
34210.49059806,gene3,FALSE
34229.9897645556,gene3,FALSE
34318.8581793802,gene3,FALSE
34349.6105982782,gene3,FALSE
34761.364109911,gene3,FALSE
34937.3843197594,gene3,FALSE
34984.2022662254,gene3,FALSE
35050.8456138144,gene3,FALSE
35166.811030671,gene3,FALSE
35373.8286317738,gene3,FALSE
35775.7257646881,gene3,FALSE
36222.7772805388,gene3,FALSE
36422.059530705,gene3,FALSE
36750.6857565402,gene3,FALSE
36819.0704496428,gene3,FALSE
36930.6278366586,gene3,FALSE
37079.9455553889,gene3,FALSE
37177.1014435217,gene3,FALSE
37936.3497090843,gene3,FALSE
38066.2725017271,gene3,FALSE
38215.4372798912,gene3,FALSE
38223.2631155821,gene3,FALSE
38270.2612421247,gene3,FALSE
38401.6757451529,gene3,FALSE
38461.3220227687,gene3,FALSE
38565.1848778566,gene3,FALSE
38639.0215792404,gene3,FALSE
39015.9524432772,gene3,FALSE
39164.5631683059,gene3,FALSE
39225.8189255898,gene3,FALSE
39405.6200422347,gene3,FALSE
39459.1347884596,gene3,FALSE
39489.8078664169,gene3,FALSE
39531.7588875352,gene3,FALSE
40025.9274703143,gene4,FALSE
40027.8228502893,gene4,FALSE
40227.3179705879,gene4,FALSE
40678.1151890694,gene4,FALSE
40740.6757379323,gene4,FALSE
40797.8467527754,gene4,FALSE
40871.2477653632,gene4,FALSE
41120.0582983019,gene4,FALSE
41122.6968166083,gene4,FALSE
41489.321038194,gene4,FALSE
41742.8219090512,gene4,FALSE
41984.0028517158,gene4,FALSE
42000.0163473038,gene4,FALSE
42031.4917760137,gene4,FALSE
42486.5202442019,gene4,FALSE
42566.0435665185,gene4,FALSE
42892.8894906326,gene4,FALSE
42940.1047620922,gene4,FALSE
42957.41875301,gene4,FALSE
43113.2130773938,gene4,FALSE
43320.3153180047,gene4,FALSE
43691.1073464924,gene4,FALSE
43952.573981028,gene4,FALSE
44012.081113437,gene4,FALSE
44224.9039919879,gene4,FALSE
44231.0493650176,gene4,FALSE
44603.2227285504,gene4,FALSE
44606.1701699272,gene4,FALSE
45071.3998135719,gene4,FALSE
45493.3281731792,gene4,FALSE
45694.4719750565,gene4,FALSE
46163.6665150244,gene4,FALSE
46419.7361270797,gene4,FALSE
46589.1758569395,gene4,FALSE
46614.4791305396,gene4,FALSE
46731.0239018314,gene4,FALSE
46836.6033138116,gene4,FALSE
47019.1929326393,gene4,FALSE
47671.6964364946,gene4,FALSE
47788.469519794,gene4,FALSE
47940.2098010737,gene4,FALSE
48187.1632392947,gene4,FALSE
48314.1676416909,gene4,FALSE
48436.59589141,gene4,FALSE
48651.0448246039,gene4,FALSE
48835.0945230718,gene4,FALSE
49063.8404637156,gene4,FALSE
49808.3577859653,gene4,FALSE
49829.8733321256,gene4,FALSE
49950.2454176852,gene4,FALSE
50066.7174849017,gene5,FALSE
50362.6083022077,gene5,FALSE
50474.949187682,gene5,FALSE
50482.6591363214,gene5,FALSE
50612.0363680897,gene5,FALSE
50768.2179561718,gene5,FALSE
51048.1096021249,gene5,FALSE
51520.6721203118,gene5,FALSE
51647.1676691435,gene5,FALSE
51965.4402957182,gene5,FALSE
52184.0026217108,gene5,FALSE
52372.8552668784,gene5,FALSE
52435.3792029538,gene5,FALSE
52453.5726561053,gene5,FALSE
52747.7521769393,gene5,FALSE
52806.1180157722,gene5,FALSE
52832.3011603202,gene5,FALSE
52968.4573144298,gene5,FALSE
53208.3450770006,gene5,FALSE
53249.5605274995,gene5,FALSE
53314.0363149224,gene5,FALSE
53341.0322652482,gene5,FALSE
53719.0604450025,gene5,FALSE
54122.242813854,gene5,FALSE
54141.9385967827,gene5,FALSE
54347.6017853788,gene5,FALSE
54499.471924372,gene5,FALSE
54773.415534555,gene5,FALSE
54852.0330144987,gene5,FALSE
54865.6889260747,gene5,FALSE
54887.8841281026,gene5,FALSE
54922.3583563727,gene5,FALSE
55245.4799381576,gene5,FALSE
55418.4428005873,gene5,FALSE
55434.2931920984,gene5,FALSE
56001.3972235655,gene5,FALSE
56287.0322516372,gene5,FALSE
56312.8509961227,gene5,FALSE
56436.7304636398,gene5,FALSE
56689.3231213544,gene5,FALSE
56749.7988473773,gene5,FALSE
56995.802493766,gene5,FALSE
57127.3462298119,gene5,FALSE
57451.9119206071,gene5,FALSE
57512.5664723907,gene5,FALSE
57755.1151693512,gene5,FALSE
57903.7338836929,gene5,FALSE
58131.2310805812,gene5,FALSE
58853.620798327,gene5,FALSE
59132.8050137607,gene5,FALSE
59315.9468296962,gene5,FALSE
59368.4080569074,gene5,FALSE
59467.2548626149,gene5,FALSE
59504.9261760609,gene5,FALSE
59598.2130244374,gene5,FALSE
59746.1771884374,gene5,FALSE
60123.4637259317,gene6,FALSE
60452.4923071004,gene6,FALSE
60483.1799549297,gene6,FALSE
60508.0326706811,gene6,FALSE
60520.2078188374,gene6,FALSE
60658.1510491024,gene6,FALSE
60680.7774957269,gene6,FALSE
60988.2414271545,gene6,FALSE
61159.9175226968,gene6,FALSE
61265.0740355712,gene6,FALSE
61339.6121574673,gene6,FALSE
61342.41019319,gene6,FALSE
